,year featured,track_name,track_popularity,release_date,playlist_id,playlist_name,lead_artist,supporting_artists
1imMjt1YGNebtrtTAprKV7,2017,Love Again,77,2020-03-27,37i9dQZF1DX3rxVfibe1L0,Mood Booster,Dua Lipa,
2HvtedoEeymVWrBPyAMNwZ,2017,SUPERBLOOM,72,2020-07-24,37i9dQZF1DX3rxVfibe1L0,Mood Booster,MisterWives,
20d27F17AZOxTJOEHAVK2Y,2017,Conversations in the Dark - John Legend vs. David Guetta,68,2020-02-14,37i9dQZF1DX3rxVfibe1L0,Mood Booster,John Legend,"David Guetta, "
4ja2gzrNh9VNigzoXfmbwD,2017,Mariposa,77,2019-08-28,37i9dQZF1DX3rxVfibe1L0,Mood Booster,Peach Tree Rascals,
5dn6QANKbf76pANGjMBida,2017,Blueberry Eyes (feat. SUGA of BTS),72,2020-09-15,37i9dQZF1DX3rxVfibe1L0,Mood Booster,MAX,"SUGA, "
6wXgnhpmOPEJ7cUweSyy2B,2017,Dance with Me (feat. Thomas Rhett & Young Thug),70,2020-05-27,37i9dQZF1DX3rxVfibe1L0,Mood Booster,Diplo,"Thomas Rhett, Young Thug, "
1b3nlcP6hogIzYRVK2Ui7K,2017,Wherever You Are,66,2020-01-10,37i9dQZF1DX3rxVfibe1L0,Mood Booster,Kodaline,
0NmuYnjETG3u3qx0OmEJev,2017,Lil Bit,77,2020-10-23,37i9dQZF1DX3rxVfibe1L0,Mood Booster,Nelly,"Florida Georgia Line, "
4VginDwYTP2eaHJzO0QMjG,2017,Circles,2,2019-08-30,37i9dQZF1DX3rxVfibe1L0,Mood Booster,Post Malone,
7kQkmyoHCEqwe7QwDbkSXM,2017,Let's Fall in Love for the Night,74,2018-10-19,37i9dQZF1DX3rxVfibe1L0,Mood Booster,FINNEAS,
5iFwAOB2TFkPJk8sMlxP8g,2017,Make You Mine,78,2019-08-09,37i9dQZF1DX3rxVfibe1L0,Mood Booster,PUBLIC,
1tNJrcVe6gwLEiZCtprs1u,2017,3 Nights,77,2018-10-16,37i9dQZF1DX3rxVfibe1L0,Mood Booster,Dominic Fike,
5Uou8idst1XJc0F6MRAk5S,2017,I Don't Live Here Anymore (feat. Lucius),58,2021-10-29,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,The War On Drugs,"Lucius, "
6yWn9RKfL1il1b4hFe6H1i,2017,Something Tells Me,57,2019-04-26,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,BAILEN,
6QTPacyXkZWG9FMwq6L1hJ,2017,Love You For A Long Time,70,2019-11-21,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Maggie Rogers,
1TX0ImiGMYiikRash29a2b,2017,BRIGHTSIDE,68,2021-09-20,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,The Lumineers,
5CeXAfGpk9baITQvV0feoG,2017,If Ever (with Jack Johnson & Ben Harper),59,2021-04-16,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Paula Fuga,"Jack Johnson, Ben Harper, "
3d3LHam2Lc5ADEyJxG3fXE,2017,Thinking 'Bout Love,69,2020-05-01,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Wild Rivers,
6Sf1IjXhbfTIYOHhaj5DG0,2017,Worry No More,61,2021-08-11,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Amos Lee,
6J1Rk8WkZ6KOFUtlTVMoJd,2017,Eloise,0,2019-05-03,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Penny and Sparrow,
5CalS8Gn69OOrR9aiw0ZO9,2017,Honeybee,70,2019-05-17,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,The Head And The Heart,
61X73CJcpwGIxgQgKEXbw0,2017,You and Me On The Rock (feat. Lucius),64,2021-10-01,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Brandi Carlile,"Lucius, "
5Apvsk0suoivI1H8CmBglv,2017,Almost (Sweet Music),71,2019-03-01,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Hozier,
2pfAvgMoHLfialvMYn337d,2017,No Sleep,62,2019-07-26,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Caamp,
7l1JgKKbTh8n0o1ya4j67k,2017,Side Effects,52,2019-09-13,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,JOSEPH,
0roPf0bwAsBDZv1bR15m15,2017,It Would Be You,60,2020-05-15,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Ben Rector,
6ZStK8DcWAJKOCgaE68Cf4,2017,Trick To Happy,0,2020-09-11,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Bahamas,
3BqHafmDs7SJVohRT0T6jU,2017,sunday,17,2019-06-19,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Joy Oladokun,
7e4ZgRoo2aul0CDlLfIl1F,2017,You Were,0,2020-05-29,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Field Guide,
09PIYploijfke8kPiVVoJV,2017,Supply & Demand,0,2019-05-29,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Wilder Woods,
2N2gukfZet8Oe4aYR5Apd6,2017,Surefire,61,2019-07-19,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Wilderado,
4WseJ30wu5uelTqxvAK9oy,2017,What If I,56,2021-10-15,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Nathaniel Rateliff & The Night Sweats,
0YPX6ztcWM4QTbR9tpnHNB,2017,See the World,64,2021-04-23,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,Brett Dennen,
5r47m8Td4m1CCzCHiKDBEd,2017,Count On Me,52,2019-10-22,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,The Lone Bellow,
7zUgIo1qgHuJ3LmeFxmqiN,2017,Into The Mystery,58,2021-05-06,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,NEEDTOBREATHE,
6TL3MOcVW8i1UiJkvhpDbR,2017,Carry Me Away,36,2019-09-06,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free,John Mayer,
